SampleId,age,sumCharArea,depth,Density,Mass,sed_rate,CHAR.tram,CHAR.z_scores
TRAM-3U-39-40,1479,269912.2083,423,0.448857143,1.6326,0.0377358490566038,2800.30285476711,0.166389986165766
TRAM-3U-40-41,1499,105511.1361,424,0.4625,1.5563,0.05,1567.78578828793,-0.242046776387527
TRAM-3U-41-42,1540,217156.6404,426,0.36648,1.5744,0.0487804878048781,2465.78071007436,0.0555346110179044
TRAM-3U-42-43,1559,246601.6086,427,0.409076923,1.5757,0.0526315789473684,3369.56431236705,0.355034276059996
TRAM-3U-43-44,1611,452716.3859,429,0.482060606,1.5845,0.0384615384615385,5297.393871716,0.993886658221574
TRAM-3U-44-45,1668,95696.1466,431,0.43256,1.5806,0.0350877192982456,918.912098077257,-0.4570733074949
TRAM-3U-45-46,1695,52755.5679,432,0.575392857,1.866,0.037037037037037,602.500435406266,-0.561927153863629
TRAM-3U-46-47,1752,126367.9885,434,0.658703704,1.5667,0.0350877192982456,1864.21704559431,-0.14381412197108
TRAM-3U-47-48,1778,76066.1678,435,0.681733333,1.519,0.0384615384615385,1313.03089337194,-0.326468540072573
TRAM-3U-48-49,1830,0,437,0.627846154,1.5735,0.0384615384615385,0,-0.761586317997759
TRAM-3U-49-50,1880,0,439,0.696724138,1.5424,0.04,0,-0.761586317997759
TRAM-3U-50-51,1897,71158.6731,440,0.920666667,1.6452,0.0588235294117647,2342.40851786729,0.0146510077440761
TRAM-3U-51-52,1927,13495.6104,442,0.744333333,1.5974,0.0666666666666667,419.232614244041,-0.62265922613385
TRAM-3U-52-53,1940,50301.8207,443,0.765222222,1.6063,0.0769230769230769,1843.32225547961,-0.150738326641982
TRAM-3U-53-54,1970,61343.6838,445,0.799481481,1.5782,0.0666666666666667,2071.69092106703,-0.0750605441772016
TRAM-3U-54-55,2003,107964.8832,447,0.721454545,1.5029,0.0606060606060606,3141.06891061258,0.279314495223611
TRAM-3U-55-56,2021,441674.523,448,0.591956522,1.5206,0.0555555555555556,9552.22772045717,2.40387164718916
TRAM-3U-56-57,2085,4230260.4306,450,0.4045,1.624,0.03125,32926.8077312519,10.1498396709213
TRAM-3U-57-58,2139,844089.0882,451,0.513961538,1.5249,0.0185185185185185,5268.46114961139,0.984298809363612
TRAM-3U-58-59,2246,352112.7446,453,0.447318182,1.526,0.0186915887850467,1929.2565349947,-0.122261058560204
