bootstrap,coefs_validos,positivos,negativos,pct_pos
450,5550,2517,3033,45.35135135135135
451,5550,2529,3021,45.567567567567565
452,5550,2552,2998,45.98198198198198
453,5550,2563,2987,46.18018018018018
454,5550,2534,3016,45.65765765765766
455,5550,2574,2976,46.37837837837838
456,5550,2527,3023,45.531531531531535
457,5550,2498,3052,45.00900900900901
458,5550,2542,3008,45.8018018018018
459,5550,2513,3037,45.27927927927928
460,5550,2546,3004,45.87387387387387
461,5550,2595,2955,46.75675675675676
462,5550,2463,3087,44.37837837837838
463,5550,2560,2990,46.126126126126124
464,5550,2562,2988,46.16216216216216
465,5550,2494,3056,44.93693693693694
466,5550,2512,3038,45.26126126126126
467,5550,2489,3061,44.84684684684685
468,5550,2571,2979,46.32432432432432
469,5550,2453,3097,44.1981981981982
470,5550,2548,3002,45.909909909909906
471,5550,2538,3012,45.729729729729726
472,5550,2511,3039,45.24324324324324
473,5550,2471,3079,44.52252252252252
474,5550,2540,3010,45.765765765765764
475,5550,2597,2953,46.792792792792795
476,5550,2564,2986,46.1981981981982
477,5550,2559,2991,46.10810810810811
478,5550,2559,2991,46.10810810810811
479,5550,2547,3003,45.89189189189189
480,5550,2552,2998,45.98198198198198
481,5550,2532,3018,45.62162162162162
482,5550,2547,3003,45.89189189189189
483,5550,2544,3006,45.83783783783784
484,5550,2548,3002,45.909909909909906
485,5550,2489,3061,44.84684684684685
486,5550,2543,3007,45.81981981981982
487,5550,2480,3070,44.68468468468468
488,5550,2555,2995,46.03603603603604
489,5550,2541,3009,45.78378378378378
490,5550,2552,2998,45.98198198198198
491,5550,2553,2997,46.0
492,5402,2541,2861,47.038134024435394
493,5550,2534,3016,45.65765765765766
494,5550,2568,2982,46.27027027027027
495,5550,2431,3119,43.8018018018018
496,5550,2575,2975,46.3963963963964
497,5550,2516,3034,45.33333333333333
498,5550,2501,3049,45.06306306306306
499,5550,2551,2999,45.96396396396397
500,5550,2548,3002,45.909909909909906
